Date,Rate
01/07/2001,3.61
01/08/2001,3.48
01/09/2001,2.63
01/10/2001,2.24
01/11/2001,1.96
01/12/2001,1.69
01/01/2002,1.65
01/02/2002,1.70
01/03/2002,1.75
01/04/2002,1.69
01/05/2002,1.71
01/06/2002,1.68
01/07/2002,1.69
01/08/2002,1.66
01/09/2002,1.65
01/10/2002,1.60
01/11/2002,1.24
01/12/2002,1.18
01/01/2003,1.15
01/02/2003,1.18
01/03/2003,1.16
01/04/2003,1.14
01/05/2003,1.06
01/06/2003,0.96
01/07/2003,0.88
01/08/2003,0.93
01/09/2003,0.89
01/10/2003,0.89
01/11/2003,0.92
01/12/2003,0.87
01/01/2004,0.83
01/02/2004,0.90
01/03/2004,0.95
01/04/2004,0.89
01/05/2004,0.89
01/06/2004,1.02
01/07/2004,1.16
01/08/2004,1.35
01/09/2004,1.52
01/10/2004,1.60
01/11/2004,1.88
01/12/2004,1.92
01/01/2005,1.99
01/02/2005,2.32
01/03/2005,2.60
01/04/2005,2.59
01/05/2005,2.59
01/06/2005,2.78
01/07/2005,3.04
01/08/2005,3.28
01/09/2005,3.16
01/10/2005,3.44
01/11/2005,3.84
01/12/2005,3.61
01/01/2006,4.03
01/02/2006,4.31
01/03/2006,4.47
01/04/2006,4.52
01/05/2006,4.61
01/06/2006,4.62
01/07/2006,4.80
01/08/2006,5.08
01/09/2006,4.68
01/10/2006,4.88
01/11/2006,5.13
01/12/2006,4.78
01/01/2007,4.84
01/02/2007,5.09
01/03/2007,5.11
01/04/2007,4.89
01/05/2007,4.72
01/06/2007,4.42
01/07/2007,4.71
01/08/2007,4.11
01/09/2007,3.70
01/10/2007,3.72
01/11/2007,3.63
01/12/2007,2.79
01/01/2008,2.68
01/02/2008,2.23
01/03/2008,1.34
01/04/2008,1.04
01/05/2008,1.73
01/06/2008,1.69
01/07/2008,1.58
01/08/2008,1.65
01/09/2008,0.86
01/10/2008,0.26
01/11/2008,0.09
01/12/2008,0.03
01/01/2009,0.05
01/02/2009,0.22
01/03/2009,0.10
01/04/2009,0.09
01/05/2009,0.14
01/06/2009,0.10
01/07/2009,0.15
01/08/2009,0.12
01/09/2009,0.06
01/10/2009,0.04
01/11/2009,0.05
01/12/2009,0.03
01/01/2010,0.02
01/02/2010,0.06
01/03/2010,0.11
01/04/2010,0.15
01/05/2010,0.15
01/06/2010,0.08
01/07/2010,0.16
01/08/2010,0.15
01/09/2010,0.12
01/10/2010,0.14
01/11/2010,0.13
01/12/2010,0.08
01/01/2011,0.14
01/02/2011,0.11
01/03/2011,0.06
01/04/2011,0.03
01/05/2011,0.02
01/06/2011,0.02
01/07/2011,0.04
01/08/2011,0.02
01/09/2011,0.00
01/10/2011,0.01
01/11/2011,0.01
01/12/2011,0.00
01/01/2012,0.02
01/02/2012,0.06
01/03/2012,0.06
01/04/2012,0.07
01/05/2012,0.07
01/06/2012,0.05
01/07/2012,0.07
01/08/2012,0.09
01/09/2012,0.07
01/10/2012,0.11
01/11/2012,0.13
01/12/2012,0.04
01/01/2013,0.05
01/02/2013,0.08
01/03/2013,0.08
01/04/2013,0.05
01/05/2013,0.02
01/06/2013,0.03
01/07/2013,0.02
01/08/2013,0.04
01/09/2013,0.02
01/10/2013,0.11
01/11/2013,0.05
01/12/2013,0.02
01/01/2014,0.02
01/02/2014,0.05
01/03/2014,0.05
01/04/2014,0.02
01/05/2014,0.03
01/06/2014,0.02
01/07/2014,0.02
01/08/2014,0.03
01/09/2014,0.01
01/10/2014,0.02
01/11/2014,0.04
01/12/2014,0.03
01/01/2015,0.02
01/02/2015,0.02
01/03/2015,0.02
01/04/2015,0.02
01/05/2015,0.01
01/06/2015,0.00
01/07/2015,0.03
01/08/2015,0.03
01/09/2015,0.00
01/10/2015,0.01
01/11/2015,0.07
01/12/2015,0.17
01/01/2016,0.22
01/02/2016,0.25
01/03/2016,0.25
01/04/2016,0.19
01/05/2016,0.22
01/06/2016,0.22
01/07/2016,0.26
01/08/2016,0.26
01/09/2016,0.18
01/10/2016,0.24
01/11/2016,0.29
01/12/2016,0.41
01/01/2017,0.49
01/02/2017,0.47
01/03/2017,0.65
01/04/2017,0.73
01/05/2017,0.71
01/06/2017,0.82
01/07/2017,0.95
01/08/2017,0.96
01/09/2017,0.98
01/10/2017,0.98
01/11/2017,1.07
01/12/2017,1.18
01/01/2018,1.27
01/02/2018,1.36
01/03/2018,1.61
01/04/2018,1.63
01/05/2018,1.67
01/06/2018,1.77
01/07/2018,1.86
01/08/2018,1.91
01/09/2018,2.00
01/10/2018,2.14
01/11/2018,2.19
01/12/2018,2.32
01/01/2019,2.36
01/02/2019,2.39
01/03/2019,2.41
01/04/2019,2.38
01/05/2019,2.36
01/06/2019,2.18
01/07/2019,2.11
01/08/2019,2.03
01/09/2019,1.95
01/10/2019,1.70
01/11/2019,1.55
01/12/2019,1.52
01/01/2020,1.50